# x_m, y_m, w_tr_left_m, w_tr_right_m
3.207951911138328782e+00,-8.324063125895490023e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.196862910995557971e+00,-8.547843361267688511e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.185480724029800648e+00,-8.770146685911129891e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.173807316874431628e+00,-8.990934689884109154e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.161844706480341216e+00,-9.210169225064581688e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.149594959767440194e+00,-9.427812411741423038e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.137060193267533936e+00,-9.643826645159397914e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.124242572758625158e+00,-9.858174602016553933e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.111144312890707919e+00,-1.007081924691297425e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.097767676803115933e+00,-1.028172383874986773e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.084114975733492692e+00,-1.049085193707772978e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.070188568618454461e+00,-1.069816740839257152e+00,5.999999999999999778e-01,5.999999999999999778e-01
